order_id,order_date,customer_id,product_id,product_name,category,qty,price,revenue,city
10176,2024-11-26,C2020,P1004,Product 5,Sports,4,165.54,662.16,Philadelphia
10176,2024-11-26,C2020,P1006,Product 7,Home,5,107.48,537.4,Philadelphia
10176,2024-11-26,C2020,P1026,Product 27,Sports,4,61.97,247.88,Philadelphia
10176,2024-11-26,C2020,P1012,Product 13,Electronics,1,201.58,201.58,Philadelphia
11337,2024-11-28,C2173,P1003,Product 4,Sports,2,57.49,114.98,Phoenix
11337,2024-11-28,C2173,P1010,Product 11,Home,1,177.85,177.85,Phoenix
11337,2024-11-28,C2173,P1006,Product 7,Home,4,106.26,425.04,Phoenix
11337,2024-11-28,C2173,P1014,Product 15,Electronics,2,71.38,142.76,Phoenix
11079,2024-11-29,C2125,P1027,Product 28,Sports,1,179.5,179.5,LA
11079,2024-11-29,C2125,P1023,Product 24,Beauty,1,44.85,44.85,LA
11079,2024-11-29,C2125,P1006,Product 7,Home,1,96.8,96.8,LA
11079,2024-11-29,C2125,P1012,Product 13,Electronics,3,229.47,688.41,LA
11047,2024-12-06,C2120,P1011,Product 12,Apparel,5,18.55,92.75,Houston
11047,2024-12-06,C2120,P1023,Product 24,Beauty,1,47.36,47.36,Houston
11047,2024-12-06,C2120,P1016,Product 17,Sports,3,256.48,769.44,Houston
11326,2024-12-07,C2173,P1009,Product 10,Beauty,2,124.74,249.48,Phoenix
11164,2024-12-14,C2148,P1028,Product 29,Home,3,87.05,261.15,Philadelphia
11164,2024-12-14,C2148,P1012,Product 13,Electronics,1,220.55,220.55,Philadelphia
11335,2024-12-25,C2173,P1007,Product 8,Electronics,1,95.67,95.67,Phoenix
11335,2024-12-25,C2173,P1023,Product 24,Beauty,1,47.27,47.27,Phoenix
11322,2024-12-26,C2173,P1014,Product 15,Electronics,2,61.8,123.6,Phoenix
10931,2024-12-28,C2103,P1006,Product 7,Home,1,115.56,115.56,Philadelphia
10931,2024-12-28,C2103,P1012,Product 13,Electronics,4,184.76,739.04,Philadelphia
11285,2024-12-28,C2165,P1000,Product 1,Electronics,3,166.12,498.36,NYC
11285,2024-12-28,C2165,P1004,Product 5,Sports,2,161.65,323.3,NYC
11285,2024-12-28,C2165,P1006,Product 7,Home,2,93.75,187.5,NYC
10376,2025-01-02,C2038,P1011,Product 12,Apparel,2,20.24,40.48,San Antonio
10926,2025-01-04,C2103,P1001,Product 2,Electronics,1,41.0,41.0,Philadelphia
10618,2025-01-05,C2066,P1028,Product 29,Home,4,92.83,371.32,Dallas
11330,2025-01-06,C2173,P1002,Product 3,Beauty,9,24.72,222.48,Phoenix
11330,2025-01-06,C2173,P1003,Product 4,Sports,1,63.71,63.71,Phoenix
11340,2025-01-14,C2173,P1016,Product 17,Sports,1,258.47,258.47,Phoenix
11340,2025-01-14,C2173,P1009,Product 10,Beauty,4,124.42,497.68,Phoenix
11340,2025-01-14,C2173,P1006,Product 7,Home,3,119.72,359.16,Phoenix
11340,2025-01-14,C2173,P1013,Product 14,Apparel,4,206.98,827.92,Phoenix
10003,2025-01-21,C2000,P1022,Product 23,Beauty,3,198.41,595.23,Phoenix
10003,2025-01-21,C2000,P1004,Product 5,Sports,2,163.75,327.5,Phoenix
10003,2025-01-21,C2000,P1020,Product 21,Beauty,1,253.1,253.1,Phoenix
11321,2025-01-21,C2173,P1026,Product 27,Sports,3,70.03,210.09,Phoenix
11321,2025-01-21,C2173,P1021,Product 22,Sports,2,196.34,392.68,Phoenix
10478,2025-02-01,C2050,P1024,Product 25,Apparel,4,30.9,123.6,Austin
10478,2025-02-01,C2050,P1014,Product 15,Electronics,1,76.2,76.2,Austin
10478,2025-02-01,C2050,P1000,Product 1,Electronics,2,182.49,364.98,Austin
11329,2025-02-03,C2173,P1029,Product 30,Home,3,210.19,630.57,Phoenix
11329,2025-02-03,C2173,P1017,Product 18,Electronics,1,182.99,182.99,Phoenix
11329,2025-02-03,C2173,P1021,Product 22,Sports,1,197.21,197.21,Phoenix
11044,2025-02-07,C2120,P1028,Product 29,Home,1,97.28,97.28,Houston
11044,2025-02-07,C2120,P1022,Product 23,Beauty,4,213.83,855.32,Houston
11044,2025-02-07,C2120,P1015,Product 16,Apparel,3,188.23,564.69,Houston
11044,2025-02-07,C2120,P1024,Product 25,Apparel,1,30.89,30.89,Houston
10584,2025-02-09,C2061,P1011,Product 12,Apparel,4,19.05,76.2,San Diego
10584,2025-02-09,C2061,P1022,Product 23,Beauty,1,199.84,199.84,San Diego
10584,2025-02-09,C2061,P1017,Product 18,Electronics,2,175.35,350.7,San Diego
10584,2025-02-09,C2061,P1015,Product 16,Apparel,4,202.3,809.2,San Diego
10770,2025-02-12,C2088,P1007,Product 8,Electronics,5,81.06,405.3,San Diego
10770,2025-02-12,C2088,P1019,Product 20,Home,1,161.13,161.13,San Diego
10770,2025-02-12,C2088,P1004,Product 5,Sports,1,173.52,173.52,San Diego
10770,2025-02-12,C2088,P1023,Product 24,Beauty,4,44.05,176.2,San Diego
10812,2025-02-12,C2091,P1006,Product 7,Home,1,101.68,101.68,San Antonio
10812,2025-02-12,C2091,P1017,Product 18,Electronics,4,197.7,790.8,San Antonio
10812,2025-02-12,C2091,P1020,Product 21,Beauty,4,191.82,767.28,San Antonio
11051,2025-02-13,C2120,P1014,Product 15,Electronics,4,73.11,292.44,Houston
10315,2025-02-17,C2031,P1005,Product 6,Electronics,4,82.03,328.12,Phoenix
10315,2025-02-17,C2031,P1017,Product 18,Electronics,1,220.7,220.7,Phoenix
10315,2025-02-17,C2031,P1007,Product 8,Electronics,1,101.74,101.74,Phoenix
10315,2025-02-17,C2031,P1004,Product 5,Sports,4,147.49,589.96,Phoenix
10652,2025-02-18,C2070,P1023,Product 24,Beauty,1,47.43,47.43,LA
10625,2025-02-23,C2066,P1003,Product 4,Sports,1,64.74,64.74,Dallas
10625,2025-02-23,C2066,P1011,Product 12,Apparel,2,21.9,43.8,Dallas
10625,2025-02-23,C2066,P1018,Product 19,Home,4,72.4,289.6,Dallas
10625,2025-02-23,C2066,P1009,Product 10,Beauty,6,134.54,807.24,Dallas
10313,2025-02-25,C2031,P1011,Product 12,Apparel,6,16.83,100.98,Phoenix
10118,2025-03-01,C2016,P1020,Product 21,Beauty,2,192.92,385.84,LA
10118,2025-03-01,C2016,P1011,Product 12,Apparel,3,17.14,51.42,LA
10118,2025-03-01,C2016,P1022,Product 23,Beauty,2,238.13,476.26,LA
10142,2025-03-01,C2018,P1017,Product 18,Electronics,3,188.77,566.31,NYC
10317,2025-03-01,C2031,P1020,Product 21,Beauty,1,205.48,205.48,Phoenix
10317,2025-03-01,C2031,P1017,Product 18,Electronics,4,193.18,772.72,Phoenix
10317,2025-03-01,C2031,P1002,Product 3,Beauty,1,30.53,30.53,Phoenix
10317,2025-03-01,C2031,P1009,Product 10,Beauty,3,142.71,428.13,Phoenix
10693,2025-03-01,C2075,P1005,Product 6,Electronics,1,79.33,79.33,LA
10693,2025-03-01,C2075,P1002,Product 3,Beauty,4,26.23,104.92,LA
10693,2025-03-01,C2075,P1021,Product 22,Sports,6,172.26,1033.56,LA
10693,2025-03-01,C2075,P1024,Product 25,Apparel,5,36.0,180.0,LA
10443,2025-03-03,C2048,P1029,Product 30,Home,4,265.46,1061.84,San Antonio
10443,2025-03-03,C2048,P1001,Product 2,Electronics,1,36.8,36.8,San Antonio
10443,2025-03-03,C2048,P1021,Product 22,Sports,4,161.32,645.28,San Antonio
